,asset,ret,bin
2023-10-30,PETR4_SA,0.10317782714330792,1.0
2023-10-31,PETR4_SA,0.13012773713690473,1.0
2023-11-01,PETR4_SA,0.1528155740299093,1.0
2023-11-03,PETR4_SA,0.12954283629367103,1.0
2023-11-07,PETR4_SA,0.14364605668376274,1.0
2023-11-08,PETR4_SA,0.1848664150940933,1.0
2023-11-09,PETR4_SA,0.12469770638291533,1.0
2023-11-10,PETR4_SA,0.16609680972497998,1.0
2023-11-13,PETR4_SA,0.11140174864455621,1.0
2023-11-14,PETR4_SA,0.10812608542504742,1.0
2023-11-16,PETR4_SA,0.11373218940462837,1.0
2023-11-17,PETR4_SA,0.07231184176415195,1.0
2023-11-21,PETR4_SA,0.0726304835862066,1.0
2023-11-22,PETR4_SA,0.07224130926366046,1.0
2023-11-24,PETR4_SA,0.07400069403117948,1.0
2023-11-27,PETR4_SA,0.12004588360845747,1.0
2023-11-28,PETR4_SA,0.12247208877188354,1.0
2023-11-29,PETR4_SA,0.15157507550062022,1.0
2023-11-30,PETR4_SA,0.12280706868423619,1.0
2023-12-01,PETR4_SA,0.14269723321490546,1.0
2023-12-04,PETR4_SA,0.14465771565224017,1.0
2023-12-05,PETR4_SA,0.14992829933879048,1.0
2023-12-06,PETR4_SA,0.16298498666150474,1.0
2023-12-07,PETR4_SA,0.16576902717702913,1.0
2023-12-08,PETR4_SA,0.15859659952200844,1.0
2023-12-11,PETR4_SA,0.16298026001632127,1.0
2023-12-12,PETR4_SA,0.15258221065017197,1.0
2023-12-13,PETR4_SA,0.15591568826272417,1.0
2023-12-14,PETR4_SA,0.15402047989057133,1.0
2023-12-15,PETR4_SA,0.15141259172852028,1.0
2023-12-18,PETR4_SA,0.15987724994585473,1.0
2023-12-19,PETR4_SA,0.16413775445567946,1.0
2023-12-20,PETR4_SA,0.15997778101745186,1.0
2023-12-22,PETR4_SA,0.14861172325184846,1.0
2023-12-26,PETR4_SA,0.14358387135229322,1.0
2023-12-28,PETR4_SA,0.14634792372558536,1.0
2024-01-02,PETR4_SA,0.13552155135176913,1.0
2024-01-03,PETR4_SA,0.031314373392527406,1.0
